disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,219026,True,7sr74Bz3GBTNMQe1m4F5Ut,False,True,JoHn Muir,55,10,track,album,Blank Face LP,2016,rap,0.683,0.921,2,-4.833,1,0.227,0.08,1.46e-06,0.225,0.625,160.088,4
1,233392,True,6pTDPaMcN5KSYD8hJ1uWId,False,True,Maybe IDK,52,6,track,album,The Human Condition,2016,rap,0.54,0.54,9,-6.517,1,0.0539,0.0616,0.0,0.231,0.209,120.266,4
1,338426,True,3V8vWoCbKbfjNrPaQ4YtSg,False,True,untitled 05 | 09.21.2014.,55,5,track,album,untitled unmastered.,2016,rap,0.461,0.62,0,-9.822,1,0.496,0.321,0.0,0.151,0.422,153.941,4
1,161332,True,0lsw4q8Jei7gEoV7kFe3DS,False,True,Lgbt,58,4,track,album,Audacious,2016,rap,0.795,0.857,0,-8.676,0,0.162,0.172,1.76e-05,0.101,0.419,124.967,4
1,249680,True,4bJX21zvsGJELwVNf902qk,False,True,Never Know,57,1,track,album,FREE 6LACK,2016,rap,0.645,0.571,5,-9.021,0,0.2,0.0947,3.32e-06,0.185,0.184,95.223,4
1,265950,False,2JXNOtb0ANe6MzgRYDQG2J,False,True,Morning In America,52,11,track,album,The Human Condition,2016,rap,0.735,0.665,5,-5.933,1,0.0819,0.129,0.0,0.0803,0.593,102.018,4
1,189554,True,4y3l1Qk130C1ebtgIGxltq,False,True,Spaced Out,52,8,track,album,Slimeball,2016,rap,0.704,0.594,2,-6.966,1,0.211,0.0493,5.29e-05,0.132,0.296,78.585,4
1,216036,True,5KSNxyuyp5K1kDT6LvX8oZ,False,True,80's Films,52,2,track,album,The Human Condition,2016,rap,0.507,0.461,6,-7.761,1,0.128,0.0288,0.0,0.0483,0.665,136.219,3
1,124499,True,5GPiwfbnuTPQIHXO5qcqpd,False,True,Uzi Loogies,54,4,track,single,DIRTYNASTY$UICIDE,2016,rap,0.821,0.831,0,-4.35,1,0.0683,0.00731,0.00166,0.51,0.821,135.019,4
1,213533,True,2IAaBzOLUtr2hqcwOItFWJ,False,True,"Jam (feat. Trey Songz, Ty Dolla $ign and Jamie Foxx)",51,16,track,album,Islah (Deluxe),2016,rap,0.744,0.633,2,-7.732,1,0.113,0.0333,0.0,0.144,0.549,120.011,4
1,209466,True,2bocAPQcUTLUXx8lAOTiK3,False,True,Team,63,1,track,single,Team,2016,rap,0.891,0.692,4,-4.989,1,0.0673,0.0545,0.0,0.608,0.218,100.023,4
3,293666,False,1lKS7SZQ7r5vOChLwJurmm,False,True,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,55,15,track,compilation,Bad Boy 20th Anniversary Box Set Edition,2016,rap,0.527,0.808,1,-4.749,1,0.295,0.176,0.0,0.169,0.907,87.025,4
1,237506,True,1jkIErXa3YNUX5QIyO6GGR,False,True,Losin Control,55,1,track,single,Losin Control,2016,rap,0.759,0.245,6,-6.545,1,0.138,0.515,0.000154,0.102,0.209,96.992,4
1,224000,True,6BOtDFg6GJm0rPUDuNmx57,False,True,Wake Up,52,1,track,single,Wake Up,2016,rap,0.647,0.673,5,-5.992,1,0.176,0.172,0.0,0.223,0.527,179.971,4
1,189518,True,4rbsrWIFyPwBZDlhpiOb3Z,False,True,Young Prodigy,52,9,track,album,Lil Big Pac,2016,rap,0.839,0.613,1,-5.685,1,0.327,0.109,0.0,0.168,0.533,136.082,4
1,226446,True,093SZ2Ba4QI07f1n9T4b1f,False,True,We Don't Need 'Em,52,10,track,album,Maybe They Were Wrong,2016,rap,0.76,0.633,6,-7.263,1,0.279,0.301,2.46e-05,0.0943,0.579,155.038,4
1,208422,True,4QgtGpNXs1v2UFz1VuCvWB,False,True,Pull Up,52,5,track,album,Strictly 4 My Fans,2016,rap,0.483,0.607,7,-6.378,1,0.184,0.117,0.0,0.251,0.302,92.696,3
1,297800,True,7E09pB6FdMumBbWQAKwS1M,False,True,Cocoon,56,1,track,single,Cocoon,2016,rap,0.58,0.825,7,-3.695,1,0.252,0.192,0.0,0.0879,0.364,120.033,4
1,253786,True,1b6rmL3VXBgYTbn61kM8wT,False,True,Drug Dealers Anonymous,55,1,track,single,Drug Dealers Anonymous,2016,rap,0.558,0.864,11,-5.1,1,0.43,0.318,0.0,0.123,0.474,152.804,4
1,215160,True,6cREm4bV7V79Yxdilx9HDo,False,True,Once In a While,60,1,track,single,Once In a While,2016,rap,0.786,0.687,0,-5.914,1,0.141,0.00758,0.0,0.619,0.345,105.021,4
1,183832,True,4LAp0EFUdBeVCkusdw8i77,False,True,Jermaine's Interlude (feat. J. Cole),51,5,track,album,Major Key,2016,rap,0.547,0.678,8,-3.292,1,0.282,0.515,0.0,0.564,0.61,136.348,4
1,147186,True,5VVjWtq1H0z42RQfZlnwaT,False,True,the last thing i wanna do,57,14,track,album,HELLBOY,2016,rap,0.536,0.837,9,-5.869,1,0.147,0.00414,0.0,0.13,0.443,145.067,4
1,133198,True,677ai1ZuIvkr13W5vSR9wn,False,True,Handheld GPS,55,7,track,album,Father Figure,2016,rap,0.805,0.606,9,-7.679,0,0.267,0.2,0.0,0.145,0.513,123.942,4
1,124865,True,23fF9E89dWW5ZnmRfsB5Kb,False,True,Am/Pm,54,5,track,album,Dark Side of the Clouds,2016,rap,0.705,0.555,8,-8.142,1,0.51,0.244,1.46e-06,0.108,0.334,200.074,4
1,216840,False,0SunFlwqT44E0BU0yrgM7u,False,True,Boogieman,56,3,track,album,"""Awaken, My Love!""",2016,rap,0.713,0.753,7,-8.64,1,0.0877,0.0963,0.19,0.206,0.64,88.026,4
1,224253,False,3baESV24ilV6meyqLUh0WU,False,True,Have Some Love,57,2,track,album,"""Awaken, My Love!""",2016,rap,0.783,0.782,9,-7.003,1,0.0854,0.0171,0.0261,0.682,0.934,148.214,4
1,262306,True,4T10Ts9Btb1QL89cAO3pq6,False,True,I Wanna Benz,56,7,track,compilation,Def Jam Presents: Direct Deposit (Vol. 1),2016,rap,0.824,0.623,1,-7.884,1,0.303,0.00644,0.0,0.304,0.361,93.011,4
