,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
198,1,242666,False,5veJDT0MLsLbhYsx42GXUD,False,True,Don't Stand So Close To Me,70,1,track,album,Zenyatta Mondatta (Remastered 2003),1980,0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,Pop
199,1,190440,True,4kV4N9D1iKVxx1KLvtTpjS,False,True,"break up with your girlfriend, i'm bored",78,12,track,album,"thank u, next",2019,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,Pop
200,1,216320,True,6K4t31amVTZDgR3sKmwUJJ,False,True,The Less I Know The Better,85,7,track,album,Currents,2015,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,Pop
201,1,157066,False,2YpeDb67231RjR0MgVLzsG,False,True,Old Town Road - Remix,79,1,track,single,7 EP,2019,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,Pop
202,1,174853,True,0t3ZvGKlmYmVsDzBJAXK8C,False,True,Goodbyes (feat. Young Thug),81,14,track,album,Hollywood's Bleeding,2019,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,Pop
203,1,169666,False,22oEJW6r2rMb9z4IntfyEa,False,True,"Hey Look Ma, I Made It",70,3,track,album,Pray for the Wicked,2018,0.577,0.833,5,-3.337,1,0.0695,0.0137,0.0,0.121,0.58,107.936,Pop
204,1,218943,True,2lLG56qpLP3UbcLuzMvkWX,False,True,Stop Breathing,75,3,track,album,Whole Lotta Red,2020,0.856,0.57,9,-4.486,1,0.286,0.00637,0.0,0.0984,0.155,154.967,Pop
205,1,218826,True,2aIB1CdRRG7YLBu9hNw9nR,False,True,The Beautiful People,73,2,track,album,Antichrist Superstar,1996,0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973,Pop
214,1,196373,True,3EPXxR3ImUwfayaurPi3cm,False,True,Be Alright,80,1,track,single,Be Alright,2018,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,Pop
215,1,312820,True,2xLMifQCjDGFmkHkpNLD9h,False,True,SICKO MODE,83,3,track,album,ASTROWORLD,2018,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,Pop
216,1,171360,False,6RRNNciQGZEXnqk8SQ9yv5,False,True,You Need To Calm Down,78,14,track,album,Lover,2019,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,Pop
217,1,158098,False,2bjUEg4jBtKBlPdNrTAppI,False,True,Easier,70,4,track,album,CALM,2020,0.562,0.46,5,-4.173,1,0.259,0.476,0.0,0.107,0.623,176.055,Pop
218,1,193200,False,2rxQMGVafnNaRaXlRMWPde,False,True,Beautiful Crazy,80,15,track,album,This One's for You Too (Deluxe Edition),2018,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,Pop
