,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
778,1,191600,True,4pAl7FkDMNBsjykPXo91B3,False,True,Needed Me,81,7,track,album,ANTI (Deluxe),2016,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,Hot 100
779,1,191638,False,1mw0RgNXIpYRyyCdBQbLgA,False,True,Love Of My Life,83,13,track,album,Harry's House,2022,0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,Hot 100
780,1,197933,True,1MtUq6Wp1eQ8PC6BbPCj8P,False,True,I Took A Pill In Ibiza - Seeb Remix,74,13,track,album,"At Night, Alone.",2016,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,Hot 100
781,1,214480,False,4tCtwWceOPWzenK2HAIJSb,False,True,Work from Home (feat. Ty Dolla $ign),76,2,track,album,7/27 (Deluxe),2016,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,Hot 100
782,1,222160,False,0azC730Exh71aQlOt9Zj3y,False,True,This Is What You Came For,82,1,track,single,This Is What You Came For,2016,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,Hot 100
783,1,219146,True,76hfruVvmfQbw0eYn1nmeC,False,True,Cake By The Ocean,83,3,track,album,DNCE,2016,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,Hot 100
784,1,251466,True,40YcuQysJ0KlGQTeGUosTC,False,True,"Me, Myself & I",78,3,track,album,When It's Dark Out,2015,0.756,0.674,0,-6.518,0,0.0959,0.0184,0.0,0.158,0.389,111.995,Hot 100
785,1,214506,False,2Z8WuEywRWYTKe1NybPQEW,False,True,Ride,83,3,track,album,Blurryface,2015,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,Hot 100
786,1,202746,True,0PDUDa38GO8lMxLCRc4lL1,False,True,PILLOWTALK,78,2,track,album,Mind Of Mine (Deluxe Edition),2016,0.584,0.7,11,-4.275,1,0.0456,0.117,0.0,0.0939,0.438,124.944,Hot 100
795,1,185360,False,7zsXy7vlHdItvUSH8EwQss,False,True,Cold Water,69,1,track,single,Cold Water,2016,0.608,0.798,6,-5.092,0,0.0432,0.0736,0.0,0.156,0.501,92.943,Hot 100
796,1,223078,False,0t7fVeEJxO2Xi4H2K5Svc9,False,True,Send My Love (To Your New Lover),74,2,track,album,25,2015,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,Hot 100
797,1,313546,True,7EiZI6JVHllARrX9PUvAdX,False,True,Low Life (feat. The Weeknd),75,10,track,album,EVOL,2016,0.722,0.331,8,-7.789,1,0.0726,0.337,0.282,0.146,0.102,143.961,Hot 100
806,1,215413,False,7K5dzhGda2vRTaAWYI3hrb,False,True,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",70,1,track,single,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",2016,0.632,0.702,7,-5.92,1,0.148,0.0114,0.0,0.108,0.523,162.958,Hot 100
816,1,235946,False,6RUhbFEhrvGISaQ8u2j2JN,False,True,Dangerous Woman,69,2,track,album,Dangerous Woman,2016,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,Hot 100
817,1,205879,True,27GmP9AWRs744SzKcpJsTZ,False,True,Jumpman,72,9,track,album,What A Time To Be Alive,2015,0.852,0.553,1,-7.286,1,0.187,0.0559,0.0,0.332,0.656,142.079,Hot 100
818,1,251033,True,7vRriwrloYVaoAe3a9wJHe,False,True,"i hate u, i love u (feat. olivia o'brien)",78,6,track,album,us,2016,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,Hot 100
827,1,245226,True,3O8NlPh2LByMU9lSRSHedm,False,True,Controlla,72,11,track,album,Views,2016,0.59,0.468,10,-11.083,0,0.185,0.0789,0.0,0.101,0.349,92.287,Hot 100
832,1,194453,False,7soJgKhQTO8hLP2JPRkL5O,False,True,One Call Away,67,1,track,album,Nine Track Mind,2016,0.667,0.613,1,-5.353,1,0.0344,0.403,0.0,0.115,0.47,91.024,Hot 100
837,1,292799,True,68Dni7IE4VyPkTOH9mRWHr,False,True,No Role Modelz,88,9,track,album,2014 Forest Hills Drive,2014,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,Hot 100
838,1,213427,False,6hmhG1b4LEyNuashVvuIAo,False,True,Never Forget You,74,7,track,album,So Good,2017,0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,Hot 100
839,1,216460,False,6SLT0rM0J1CvqmTjFr7wMO,False,True,Don’t Tread On Me,51,18,track,album,Servant Of The Mind (Deluxe),2021,0.561,0.921,0,-6.876,1,0.0495,2.78e-05,0.00129,0.249,0.591,125.033,Hot 100
840,1,194186,False,0BCy325UZyR9z0t0uxwn2N,False,True,H.O.L.Y.,72,4,track,album,Dig Your Roots,2016,0.523,0.666,7,-4.081,0,0.0327,0.401,0.0,0.0728,0.564,78.077,Hot 100
841,1,217706,False,37FXw5QGFN7uwwsLy8uAc0,False,True,We Don't Talk Anymore (feat. Selena Gomez),70,5,track,album,Nine Track Mind,2016,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,Hot 100
846,1,209259,False,6GD1eomgaGT1Epto6Q5eAo,False,True,golden hour,89,1,track,single,golden hour,2022,0.511,0.594,1,-4.799,0,0.0316,0.651,0.177,0.249,0.143,94.473,Hot 100
847,1,194613,True,43PuMrRfbyyuz4QpZ3oAwN,False,True,Exchange,78,3,track,album,T R A P S O U L,2015,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,Hot 100
852,1,238320,False,0PJIbOdMs3bd5AT8liULMQ,False,True,oui,77,4,track,album,Late Nights: The Album,2015,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,Hot 100
853,1,200680,False,1LoriJC05IrHIDwj3q0KC1,False,True,Hands To Myself,65,3,track,album,Revival (Deluxe),2015,0.811,0.499,5,-7.161,0,0.118,0.0147,2.44e-06,0.342,0.466,111.016,Hot 100
854,1,240000,True,0wdKiSBUT7aZkXUIdJWcwC,False,True,2 Phones,69,3,track,album,Islah (Deluxe),2016,0.895,0.681,7,-5.267,0,0.358,0.157,0.0,0.189,0.554,121.918,Hot 100
855,1,183695,True,5TqBAOIBe0bQA0spNdcG3k,False,True,For Free (feat. Drake),58,2,track,album,Major Key,2016,0.916,0.571,10,-8.241,0,0.2,0.0173,1.11e-06,0.153,0.498,103.521,Hot 100
856,1,234909,True,5WI2ltQIdwgzf1SNE76JyR,False,True,Never Be Like You (feat. Kai),68,2,track,album,Skin,2016,0.444,0.557,0,-5.476,1,0.0602,0.453,0.0,0.152,0.296,115.058,Hot 100
857,1,95466,True,3GVkPk8mqxz0itaAriG1L7,False,True,Everybody Dies In Their Nightmares,85,4,track,album,17,2017,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,Hot 100
858,1,183160,False,698eQRku24PIYPQPHItKlA,False,True,She Got the Best of Me,77,17,track,album,This One's for You Too (Deluxe Edition),2018,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,Hot 100
867,1,256533,True,6eT7xZZlB2mwyzJ2sUKG6w,False,True,White Iverson,78,6,track,album,Stoney (Deluxe),2016,0.675,0.562,7,-7.678,1,0.0352,0.233,0.0,0.0816,0.309,130.098,Hot 100
868,1,193546,False,7lGKEWMXVWWTt3X71Bv44I,False,True,Unsteady,74,4,track,album,VHS,2015,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,Hot 100
869,1,243490,True,4dASQiO1Eoo3RJvt74FtXB,False,True,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",78,1,track,single,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),2016,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,Hot 100
870,1,259072,True,5w1vhNA2OEWUQ371QzyMmM,False,True,Down In the DM (feat. Nicki Minaj) - Remix,60,15,track,album,The Art of Hustle (Deluxe),2016,0.791,0.634,1,-7.684,0,0.0639,0.00243,5.43e-05,0.0812,0.323,152.961,Hot 100
