,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
80,1,226533,False,4Y6GIje3GErVRIq1Ff5BJq,False,True,Black Madonna,65,3,track,album,Social Cues,2019,0.705,0.728,4,-3.184,0,0.035,0.00122,0.0693,0.0753,0.966,109.991,Alternative
81,1,172714,False,0xzI1KAr0Yd9tv8jlIk3sn,False,True,Bad Decisions (with BTS & Snoop Dogg),89,1,track,single,Bad Decisions (with BTS & Snoop Dogg),2022,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,Alternative
91,1,245240,True,4GKcaqt6PFor4siHXMO42e,False,True,Novocaine,61,1,track,single,Novocaine,2019,0.652,0.833,10,-4.898,1,0.0392,0.00191,0.000536,0.122,0.231,116.043,Alternative
92,1,269533,False,111HOSfnPX1mCxwwb49BCY,False,True,Caution,60,4,track,album,Imploding The Mirage,2020,0.234,0.894,7,-4.841,1,0.119,0.0155,2.17e-05,0.0869,0.0772,178.246,Alternative
93,1,196055,False,5CalS8Gn69OOrR9aiw0ZO9,False,True,Honeybee,67,4,track,album,Living Mirage,2019,0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,Alternative
94,1,184506,False,0iA1unTbTbDOWUSlbwJ1pS,False,True,It Don't Hurt Like It Used To,66,7,track,album,Summer Forever,2015,0.558,0.818,8,-4.07,1,0.0403,0.071,0.0,0.21,0.453,81.034,Alternative
99,2,197533,False,03T4ttRCiLXST6MZjeMwmR,False,True,Orphans,66,2,track,album,Everyday Life,2019,0.503,0.808,11,-5.051,0,0.0451,0.0258,0.00149,0.557,0.282,107.973,Alternative
100,1,231360,False,5WyL4ZuwJ06qVd8X5bf2b5,False,True,Life In The City,57,2,track,album,III,2019,0.743,0.57,0,-7.376,1,0.0335,0.506,5.18e-05,0.0994,0.273,97.005,Alternative
101,1,237013,False,5YTDnlr6qzl0XIGCqHP7sx,False,True,Might Be Right,49,7,track,album,You Deserve Love,2019,0.595,0.861,1,-3.907,0,0.0327,0.00222,0.18,0.227,0.892,131.995,Alternative
102,1,183160,False,698eQRku24PIYPQPHItKlA,False,True,She Got the Best of Me,77,17,track,album,This One's for You Too (Deluxe Edition),2018,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,Alternative
103,1,209829,False,5sSYvDVyP0CP9TUiqy3fuF,False,True,Cradles,73,1,track,single,Cradles,2019,0.537,0.586,6,-1.864,1,0.314,0.265,7.04e-05,0.175,0.624,79.056,Alternative
104,1,234386,False,2yH16s2lLbYtLziVwqw7Pf,False,True,Deleter,55,1,track,album,Healer,2020,0.421,0.991,8,-3.678,1,0.124,3.81e-06,0.0466,0.13,0.446,159.998,Alternative
105,1,278769,False,64lsIF5pw0sJY0gV5kz0RN,False,True,Can I Call You Tonight?,82,2,track,album,Fuzzybrain,2019,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,Alternative
106,1,178000,False,57RA3JGafJm5zRtKJiKPIm,False,True,Are You Bored Yet? (feat. Clairo),80,4,track,album,Nothing Happens,2019,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,Alternative
107,1,235847,False,2YgYtlYQSuaUtv9dx2IjzL,False,True,loneliness for love,48,4,track,album,conversations with myself about you,2020,0.597,0.95,4,-4.62,1,0.0354,0.0111,5.47e-06,0.162,0.733,133.022,Alternative
108,1,169642,True,5AHOxKqqyhd1k0fx9TJyD0,False,True,"Oh Yeah, You Gonna Cry?",68,1,track,album,Pebble Brain,2021,0.712,0.695,5,-6.926,0,0.048,0.00847,1.96e-05,0.0761,0.742,110.85,Alternative
109,1,196776,False,365TSrFPqM66giaxJuafR3,False,True,Shine A Little Light,57,1,track,album,"""Let's Rock""",2019,0.44,0.719,8,-6.645,0,0.0445,0.0217,5.09e-06,0.0663,0.523,111.398,Alternative
110,1,213573,True,3NRql0A1Ef4RCvT473iqgD,False,True,Hell N Back,78,1,track,single,Hell N Back,2019,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,Alternative
111,1,234372,False,5DYD4zlGiFlkpLaf2Bk8Vl,False,True,Your Love (Déjà Vu),60,1,track,single,Your Love (Déjà Vu),2020,0.854,0.671,7,-7.158,1,0.0543,0.019,0.383,0.105,0.631,107.994,Alternative
