,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
259,1,309973,False,51YZAJhOwIC5Gg3jMbAmhZ,False,True,For Whom The Bell Tolls (Remastered),72,3,track,album,Ride The Lightning (Deluxe Remaster),1984,0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,Country
260,1,213493,False,1z6wl2rwKatfmza6usanWw,False,True,After A Few,64,1,track,single,After A Few,2019,0.617,0.849,10,-4.316,0,0.0355,0.0146,0.0,0.194,0.695,106.998,Country
261,1,209733,False,7idmHTAQQPUFqdjXkoooXD,False,True,Beer Can’t Fix,69,10,track,album,Center Point Road,2019,0.711,0.774,7,-4.068,1,0.0308,0.0317,0.0,0.124,0.939,111.016,Country
262,1,186988,False,5M3v6frAiTyqenNAeQVcxC,False,True,What She Wants Tonight,55,1,track,single,What She Wants Tonight,2019,0.484,0.903,8,-3.9,0,0.0882,0.0649,0.0,0.151,0.716,169.948,Country
263,1,232165,False,7Ce11Oh1kConF6UlkBWnaZ,False,True,God Whispered Your Name,54,1,track,single,God Whispered Your Name,2020,0.594,0.6,2,-6.712,1,0.0498,0.306,0.0,0.149,0.5,145.967,Country
264,1,184040,False,4DCyfwekbYsNEzsYOG77el,False,True,Some Girls,61,13,track,album,Bet You're from a Small Town,2021,0.424,0.845,8,-5.15,1,0.0484,0.0864,0.0,0.156,0.336,167.988,Country
273,1,171493,False,7qRVyZDt1Caftkk8CQlKtk,False,True,Here And Now,56,2,track,album,Here And Now,2020,0.506,0.813,9,-3.575,1,0.0532,0.0505,0.0,0.12,0.706,147.996,Country
278,1,190973,False,47qZzTLLJcuD69AIKnquo4,False,True,One Night Standards,62,2,track,album,Never Will,2020,0.537,0.686,5,-5.022,1,0.0293,0.0287,0.00709,0.0988,0.611,78.052,Country
279,1,211430,False,4lSfhHd5Knwl8yQw2cVjAD,False,True,Why We Drink,64,1,track,album,Late Nights And Longnecks,2019,0.624,0.903,6,-3.046,1,0.0347,0.00824,0.0,0.309,0.724,116.99,Country
280,1,193026,False,28uL97M3whSL1UWqr7hsNh,False,True,One Big Country Song,60,1,track,album,Brothers,2019,0.547,0.822,5,-2.85,1,0.0334,0.602,0.0,0.107,0.553,81.981,Country
281,1,212146,False,2oWuBmQtYMx3LEgahIsJvs,False,True,I Called Mama,52,13,track,album,Here On Earth,2020,0.499,0.619,2,-7.054,1,0.0339,0.571,4.82e-06,0.148,0.514,86.185,Country
290,1,192586,False,0ifYeH4gNXEyba41xr3I1w,False,True,Everywhere But On,58,3,track,album,Everywhere But On,2019,0.563,0.722,6,-3.972,1,0.0279,0.0345,0.0,0.0795,0.309,149.903,Country
299,1,213576,False,03jdl5GTBhKsgB1Yw8mVPh,False,True,In Between,66,4,track,album,Disgusting,2014,0.462,0.972,7,-2.642,0,0.138,0.00285,0.0,0.666,0.449,128.092,Country
304,1,214254,True,7rdUtXasA973gmrr2Xxh3E,False,True,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",69,1,track,single,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) [REMIX]",2017,0.781,0.548,0,-4.997,0,0.0764,0.229,0.0,0.127,0.175,106.996,Country
317,1,209080,True,0HtOJj7Kl74s1Ngf3MWeif,False,True,She's Mine Pt. 1,66,5,track,album,4 Your Eyez Only,2016,0.439,0.204,2,-15.165,1,0.0587,0.766,0.0913,0.284,0.0408,139.652,Country
326,1,174067,True,0tyR7Bu9P086aWBFZ4QJoo,False,True,Monsters (feat. blackbear),72,7,track,album,"Wake Up, Sunshine",2020,0.369,0.845,0,-3.449,0,0.0611,0.0493,0.0,0.416,0.782,78.532,Country
335,1,258293,False,4objxuNfJlJHomkRIPa2Y2,False,True,Drinking Alone,58,7,track,album,Cry Pretty,2018,0.691,0.732,5,-3.715,0,0.0294,0.0326,0.0,0.0608,0.477,97.949,Country
336,1,199068,False,3aMUiKCIXJeurR5ppEMJZD,False,True,Six Feet Apart,61,1,track,single,Six Feet Apart,2020,0.565,0.598,6,-5.894,1,0.0276,0.335,0.0,0.124,0.449,155.814,Country
337,1,243106,False,7riuy1t0Kt3SRgMtFxX0FR,False,True,That Ain't My Truck,62,5,track,album,A Thousand Memories,1995,0.64,0.788,7,-9.012,1,0.035,0.232,0.0,0.144,0.774,128.961,Country
338,1,201343,False,3CS5zwqrjggxlRD0QGJAva,False,True,the other girl (with Halsey),59,4,track,album,kelsea,2020,0.583,0.769,8,-4.859,0,0.159,0.419,0.0,0.0988,0.785,179.869,Country
339,1,201480,False,6ZU30kIHamg5oiQm4gQQ3A,False,True,Getting Good,52,1,track,single,Getting Good,2019,0.499,0.643,11,-5.416,1,0.0354,0.307,0.0,0.106,0.469,93.805,Country
340,1,146470,False,4cacyP5c3PMlfnyjpg13xW,False,True,Betty (Get Money),88,1,track,single,Betty (Get Money),2022,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,Country
